timestamp,ap_id,device,rssi,ground_truth
2025-11-01T13:59:34.400582,AP-104,4637ea12bf9a,-48,12
2025-11-01T13:59:34.400582,AP-104,03204de92e11,-54,12
2025-11-01T13:59:34.400582,AP-104,588605bf5362,-46,12
2025-11-01T13:59:34.400582,AP-104,048e7ef65d96,-49,12
2025-11-01T13:59:34.400582,AP-104,6967765e90c7,-41,12
2025-11-01T13:59:34.400582,AP-104,b4a6ee273529,-35,12
2025-11-01T13:59:34.400582,AP-104,e121f9cf80fe,-77,12
2025-11-01T13:59:34.400582,AP-104,f65a5b250b6f,-71,12
2025-11-01T13:59:34.400582,AP-104,27e9897da433,-70,12
2025-11-01T13:59:34.400582,AP-104,3a474b00243f,-60,12
2025-11-01T13:59:34.400582,AP-104,fc1f09b4456e,-78,12
2025-11-01T13:59:34.400582,AP-104,725501e7231d,-77,12
2025-11-01T13:59:35.400582,AP-104,fd45958ae61f,-43,12
2025-11-01T13:59:35.400582,AP-104,89ac0bbfe7f8,-40,12
2025-11-01T13:59:35.400582,AP-104,48288d5290a7,-47,12
2025-11-01T13:59:35.400582,AP-104,f889ebfed3e2,-51,12
2025-11-01T13:59:35.400582,AP-104,51c1c93fcb95,-55,12
2025-11-01T13:59:35.400582,AP-104,c70b78f7c797,-44,12
2025-11-01T13:59:35.400582,AP-104,1174d4308928,-72,12
2025-11-01T13:59:35.400582,AP-104,a8d84d1e300e,-71,12
2025-11-01T13:59:35.400582,AP-104,e0df524be7e3,-71,12
2025-11-01T13:59:35.400582,AP-104,7264ec7922f5,-76,12
2025-11-01T13:59:35.400582,AP-104,b7e53f4afed1,-80,12
2025-11-01T13:59:35.400582,AP-104,80190938c74d,-64,12
2025-11-01T13:59:35.400582,AP-104,1dbca2ff42aa,-76,12
2025-11-01T13:59:35.400582,AP-104,1a8ef653cb05,-69,12
2025-11-01T13:59:35.400582,AP-104,2d167f75c1e5,-62,12
2025-11-01T13:59:35.400582,AP-104,8256d2ab536e,-68,12
2025-11-01T13:59:36.400582,AP-101,de3d6748ad75,-41,11
2025-11-01T13:59:36.400582,AP-101,9e4b80b3491f,-40,11
2025-11-01T13:59:36.400582,AP-101,cbe1e0c1f9c0,-46,11
2025-11-01T13:59:36.400582,AP-101,32fc86e9c021,-54,11
2025-11-01T13:59:36.400582,AP-101,a7ffd81f7d72,-36,11
2025-11-01T13:59:36.400582,AP-101,ed68388823cb,-58,11
2025-11-01T13:59:36.400582,AP-101,140e04a8b013,-74,11
2025-11-01T13:59:36.400582,AP-101,9988a8425818,-69,11
2025-11-01T13:59:36.400582,AP-101,ef5fed364c83,-81,11
2025-11-01T13:59:36.400582,AP-101,5e6dfbed01d8,-77,11
2025-11-01T13:59:36.400582,AP-101,cc4c97c317eb,-69,11
2025-11-01T13:59:36.400582,AP-101,fbac8a7aaf74,-58,11
2025-11-01T13:59:36.400582,AP-101,e6fd7982c31f,-71,11
2025-11-01T13:59:36.400582,AP-101,c810adeecc54,-67,11
2025-11-01T13:59:36.400582,AP-101,71a6c19b9e72,-70,11
2025-11-01T13:59:37.400582,AP-101,480344016b17,-46,17
2025-11-01T13:59:37.400582,AP-101,aeca979d7646,-54,17
2025-11-01T13:59:37.400582,AP-101,8847e8023be4,-49,17
2025-11-01T13:59:37.400582,AP-101,0508798b1be3,-44,17
2025-11-01T13:59:37.400582,AP-101,558f26db007b,-51,17
2025-11-01T13:59:37.400582,AP-101,e86739c34d2f,-47,17
2025-11-01T13:59:37.400582,AP-101,6e7e93ddcbe4,-36,17
2025-11-01T13:59:37.400582,AP-101,1e3895e83df7,-34,17
2025-11-01T13:59:37.400582,AP-101,4d4341ba8d84,-41,17
